timestamp,message
2025-12-01T21:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T20:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T19:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T18:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T17:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T16:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T15:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T14:00:44+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T13:00:44+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T12:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T11:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T10:00:44+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T09:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T08:00:44+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T07:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T06:00:44+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T05:00:44+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T04:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
2025-12-01T03:00:45+00:00,"[Scheduled Sync] Error fetching accounts: {""code"":""42703"",""details"":null,""hint"":null,""message"":""column gmb_accounts.last_sync does not exist""}"
